Name,Category,Tags,URL
Operation Impact Royal | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationImpactRoyal
Operation Bottle | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationBottle1Commando
How the SAS carried out 20 top secret WWII operations in Italy,Operation,"Commando,SAS",https://www.dailymail.co.uk/news/article-6403475/How-SAS-carried-20-secret-WWII-operations-Italy.html
SAS Operations WWII,Operation,"Commando,SAS,Operations",
The Operations – The Underwater Heritage Trust,Operation,Commando,https://www.underwatertrust.org.uk/the-operations/
Operations - Alexandria,Operation,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1
Operations Gibraltar,Operation,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=2
Operations Malta,Operation,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=3
Operations New York,Operation,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=4
Operations Suda Bay,Operation,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=5
Operations Alexandretta and Mersin,Operation,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=6
Airborne Operations During World War II,Operation,airborne,https://archive.is/20130208083021/http://www.historynet.com/magazines/world_war_2/3029386.html?page=4&c=y
"The struggle for North Africa, 1940-43 | National Army Museum",Operation,"UK,National Army Musuem",https://www.nam.ac.uk/explore/struggle-north-africa-1940-43
St Nazaire Raid - Wikipedia,Operation,Commando,https://en.m.wikipedia.org/wiki/St_Nazaire_Raid?wprov=sfti1
History - First Special Service Force,Unit,British Mandate,http://www.firstspecialserviceforce.com/history.html
SOE By Sanchia Berg,Unit,"SOE,British Mandate,Winston Churchill",http://news.bbc.co.uk/today/hi/today/newsid_7780000/7780476.stm
German Special Forces of World War II,Unit,Otto Skorzeny,
Commando 51 - Palestinians,Unit,"WWII,Commando 51",http://www.haaretz.co.il/blogs/sadna/1.2937367
Commando 51 British National Archives,Unit,"WWII,Commando 51,primary,British Mandate",http://discovery.nationalarchives.gov.uk/account/yourorders
British Commandos - Wikipedia,Unit,British commandos,https://en.wikipedia.org/wiki/British_Commandos
Popski's Private Army,Unit,"Biograhpical,SOE,WWII,British commandos,Popski,Winston Churchill,Vladimir Peniakoff",http://www.militaryhistoryonline.com/wwii/articles/popskisprivatearmy.aspx
SAARF – Special Allied Airborne Reconnaissance Force,Unit,WWII,http://www.militaryhistoryonline.com/wwii/articles/saarf.aspx
Decima Flottiglia MAS | Wikiwand,Unit,"Navy,WWII,Palyam,Decima Flottiglia MAS,Naval Units",https://www.wikiwand.com/en/Decima_Flottiglia_MAS
Layforce - Wikipedia,Unit,"SAS,Moshe Dayan,SBS,David Stirling,Yigal Allon",https://en.wikipedia.org/wiki/Layforce
Layforce - Wikipedia,Unit,"Moshe Dayan,Layforce,Yigal Allon",https://en.wikipedia.org/wiki/Layforce
Popski's Private Army,Unit,"British commandos,Popski,Vladimir Peniakoff,Biographical",https://www.militaryhistoryonline.com/wwii/articles/popskisprivatearmy.aspx
SAS The official website of the Special Air Service Regimental Association,Unit,SAS,http://www.marsandminerva.co.uk/units-represented/
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX",Unit,Commando,http://www.combinedops.com/Combined_Ops_Index.htm#Commandos
"No 1 COMMANDO,COMBINED OPERATIONS,",Unit,Commando,http://www.combinedops.com/No%201%20Commando.htm
"No. 4 COMMANDO, COMBINED OPERATIONS,",Unit,Commando,http://www.combinedops.com/no_4_commando.htm
"NO 5 COMMANDO, COMBINED OPERATIONS,",Unit,Commando,http://www.combinedops.com/No%205%20Commando.htm
"No. 9 COMMANDO, COMBINED OPERATIONS,",Unit,Commando,http://www.combinedops.com/No%209%20Commando.htm
"11 (SCOTTISH) COMMANDO,BLACK HACKLE,",Unit,,http://www.combinedops.com/Black%20Hackle.htm
"45 ROYAL MARINE COMMANDO, 45 RM COOMANDO,",Unit,rm commando,http://www.combinedops.com/45%20Royal%20Marine%20Commando.htm
"45 ROYAL MARINE COMMANDO,45 RM COMMANDO,",Unit,rm commando,http://www.combinedops.com/45%20RM%20Commando%202.htm
50/52 MIDDLE EAST  COMMANDO,Unit,Commando,http://www.combinedops.com/50%20(MIDDLE_EAST)_COMMANDOS.htm
52 Middle East Commando,Unit,Commando,http://www.combinedops.com/52%20(Middle%20East)%20Commando.htm
ROYAL NAVAL COMMANDOS,Unit,Commando,http://www.combinedops.com/RN%20Commando.htm
RAF SERVICING COMMANDOS,Unit,Commando,http://www.combinedops.com/ROYAL_AIR_SERVICING_COMMANDO.htm
ROYAL AIR SERVICING COMMANDOS UNIT 3201,Unit,Commando,http://www.combinedops.com/Royal_Air_Servicing_Commando_3201.htm
"GREEK SACRED SQUADRON, SACRED SQUADRON,",Unit,Commando,http://www.combinedops.com/SACRED_SQUADRON.htm
ASPIRANT US RANGER TO BRITISH COMMANDO!,Unit,Commando,http://www.combinedops.com/US%20Ranger_Commando.htm
W COMMANDO - CANADA'S BEACH COMMANDOS,Unit,"Commando,Canada",http://www.combinedops.com/W%20Commando.htm
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX",Unit,"Commando,Technologies",http://combinedops.com/Combined_Ops_Index.htm#Science%20&%20Technology
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX",Unit,"Commando,combined operations",http://combinedops.com/Combined_Ops_Index.htm#Background%20(What%20is%20a%20Combined%20Operation)
COMBINED OPERATIONS BOOKS,Unit,"Commando,Bibliography",http://combinedops.com/Books.htm
"HISTORY OF 30 ASSAULT UNIT, 1942-1946",Unit,"Commando,UK,UNIT",http://www.kingscollections.org/catalogues/lhcma/collection/h/xh40-001?searchterms=30+Assault+Unit
Observer Group - Wikipedia,Unit,"Commando,marnies",https://en.wikipedia.org/wiki/Observer_Group#cite_note-Rottman_1948-4
List of former United States special operations units,Unit,"Commando,US",https://en.wikipedia.org/wiki/List_of_former_United_States_special_operations_units
Underwater Demolition Team,Unit,"Commando,UDT,Naval Units,Navy Souts and Raiders,Phil H. Bucklew",https://en.wikipedia.org/wiki/Underwater_Demolition_Team#Normandy
SEAL History: Origins of Naval Special Warfare-WWII - National Navy UDT-SEAL Museum,Unit,"Commando,US,Navy Souts and Raiders",https://www.navysealmuseum.org/about-navy-seals/seal-history-the-naval-special-warfare-storyseal-history-the-naval-special-warfare-story/seal-history-origins-of-naval-special-warfare-wwii
SEAL History: First Airborne Frogmen - National Navy UDT-SEAL Museum,Unit,"Navy,US,Navy Souts and Raiders",https://www.navysealmuseum.org/about-navy-seals/seal-history-the-naval-special-warfare-storyseal-history-the-naval-special-warfare-story/seal-history-first-airborne-frogmen
"Wartime Army Commandos' by Brig. Peter Young DSO, MC | Commando Veterans Archive",Unit,"UK,Commando,WWII",http://www.commandoveterans.org/wartime_army_commandos
WW2 Commandos | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/site/history
Commando Battle Honours | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/battle_honours
History and Training 1940 -1945' | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/Commando_History_and_Training
A timeline of Commando Training | Commando Veterans Archive,Unit,"UK,Commando,WWII,Timeline",http://www.commandoveterans.org/EarlyCommandoTraining
1 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/1Commando
2 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/2Commando
3 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/3Commando
4 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/4Commando
5 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/5Commando
6 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/6Commando
7 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/7Commando
8 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/8Commando
9 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/9Commando
10 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/10Commando
11 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/11Commando
12 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/twelve_commando
14 Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/14Commando
Layforce' | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/LayforceCommando
51ME Commando | Commando Veterans Archive,Unit,"UK,Commando,WWII",http://www.commandoveterans.org/51MEComando1941
